         4770736 function calls (4687915 primitive calls) in 4.446 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.014    0.007    0.139    0.069 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:161(__init__)
      240    0.014    0.000    0.067    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:182(_attn)
    50256    0.014    0.000    0.043    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:369(convert_ids_to_tokens)
      240    0.013    0.000    0.037    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/activations.py:56(forward)
   100676    0.013    0.000    0.013    0.000 {built-in method _abc._abc_instancecheck}
     3601    0.013    0.000    0.013    0.000 {built-in method posix.stat}
    50259    0.012    0.000    0.012    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:107(<dictcomp>)
        1    0.012    0.012    0.940    0.940 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/auto/auto_factory.py:448(from_pretrained)
      496    0.011    0.000    0.011    0.000 {built-in method torch.cat}
40493/40479    0.011    0.000    0.012    0.000 {built-in method builtins.getattr}
        1    0.011    0.011    0.627    0.627 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:71(<listcomp>)
    50257    0.011    0.000    0.025    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:138(is_numpy_array)
        1    0.010    0.010    0.014    0.014 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_tensor.py:1078(__contains__)
    164/1    0.010    0.000    0.271    0.271 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:799(_apply)
