         103638405 function calls (93855135 primitive calls) in 46.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50259    0.040    0.000    0.059    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:74(infer_framework_from_repr)
    63145    0.038    0.000    0.042    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:292(valid_partial_match)
  1501/70    0.037    0.000    0.691    0.010 {built-in method builtins.exec}
        1    0.037    0.037    0.037    0.037 {built-in method from_file}
        2    0.032    0.016    0.032    0.016 {method 'to_str' of 'tokenizers.Tokenizer' objects}
    50257    0.029    0.000    0.630    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:42(fmt_token)
    34481    0.029    0.000    0.055    0.000 /usr/lib/python3.8/dataclasses.py:361(wrapper)
    50261    0.029    0.000    0.091    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:614(_decode)
   100530    0.027    0.000    0.033    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/utf8_utils.py:33(__eq__)
       12    0.025    0.002    0.025    0.002 {built-in method torch.tril}
   101129    0.021    0.000    0.021    0.000 {method 'split' of 'str' objects}
1744/1703    0.021    0.000    0.112    0.000 {built-in method builtins.__build_class__}
    50259    0.019    0.000    0.019    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:106(<listcomp>)
    278/2    0.019    0.000    0.171    0.085 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:327(_find_torch_objects)
        1    0.019    0.019    0.724    0.724 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:53(from_tokenizer)
    34481    0.018    0.000    0.034    0.000 /usr/lib/python3.8/logging/__init__.py:2084(debug)
    50259    0.018    0.000    0.045    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:151(is_torch_tensor)
    50259    0.017    0.000    0.395    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:247(<listcomp>)
       25    0.017    0.001    0.017    0.001 {method 'fill_' of 'torch._C.TensorBase' objects}
    50259    0.017    0.000    0.023    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:145(_is_torch)
     8697    0.016    0.000    0.130    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:241(_is_allowed_module_prefix)
   100678    0.015    0.000    0.029    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
       16    0.015    0.001   42.841    2.678 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:134(filter_vocab)
      433    0.015    0.000    0.035    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/core/assumptions.py:614(_prepare_class_assumptions)
    34481    0.014    0.000    0.014    0.000 <string>:2(__repr__)
   100678    0.014    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
        2    0.014    0.007    0.144    0.072 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:161(__init__)
