         26758727 function calls (26577491 primitive calls) in 16.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50261    0.029    0.000    0.092    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:614(_decode)
       38    0.029    0.001   11.799    0.310 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:237(token_acceptance_for_stack)
    50294    0.028    0.000    0.028    0.000 {method 'id_to_token' of 'tokenizers.Tokenizer' objects}
   400608    0.026    0.000    0.026    0.000 {method 'append' of 'collections.deque' objects}
    50295    0.026    0.000    0.051    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:186(token2bytes)
    50295    0.025    0.000    0.025    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:188(<listcomp>)
    50295    0.023    0.000    0.158    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:76(map)
      480    0.022    0.000    0.022    0.000 {built-in method torch.matmul}
      240    0.022    0.000    0.022    0.000 {built-in method torch.pow}
    50295    0.021    0.000    0.068    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:48(_map)
   101149    0.021    0.000    0.021    0.000 {method 'split' of 'str' objects}
1745/1704    0.021    0.000    0.111    0.000 {built-in method builtins.__build_class__}
       12    0.021    0.002    0.021    0.002 {built-in method torch.tril}
        1    0.020    0.020    0.825    0.825 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:56(from_tokenizer)
    50259    0.019    0.000    0.019    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:106(<listcomp>)
    50259    0.018    0.000    0.044    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:151(is_torch_tensor)
     8698    0.016    0.000    0.136    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:241(_is_allowed_module_prefix)
      240    0.016    0.000    0.016    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
    50259    0.016    0.000    0.387    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:247(<listcomp>)
    50295    0.016    0.000    0.084    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:70(_map)
    50259    0.016    0.000    0.022    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:145(_is_torch)
      240    0.015    0.000    0.073    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:182(_attn)
      433    0.015    0.000    0.034    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/core/assumptions.py:614(_prepare_class_assumptions)
   100678    0.015    0.000    0.029    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
        2    0.015    0.007    0.142    0.071 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:161(__init__)
        1    0.014    0.014    0.014    0.014 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      240    0.014    0.000    0.039    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/activations.py:56(forward)
    50294    0.014    0.000    0.044    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:369(convert_ids_to_tokens)
   100678    0.014    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
    50259    0.013    0.000    0.013    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:107(<dictcomp>)
     3601    0.013    0.000    0.013    0.000 {built-in method posix.stat}
        1    0.013    0.013    0.013    0.013 {built-in method _socket.getaddrinfo}
       20    0.012    0.001   11.822    0.591 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/generation/logits_process.py:24(mask_logits)
        1    0.012    0.012    0.012    0.012 {method 'connect' of '_socket.socket' objects}
40601/40587    0.011    0.000    0.012    0.000 {built-in method builtins.getattr}
      939    0.011    0.000    0.011    0.000 {method 'item' of 'torch._C.TensorBase' objects}
        1    0.011    0.011    1.157    1.157 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/auto/auto_factory.py:448(from_pretrained)
    50257    0.011    0.000    0.025    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:138(is_numpy_array)
    50257    0.010    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:134(_is_numpy)
87551/86099    0.010    0.000    0.087    0.000 {built-in method builtins.hasattr}
        1    0.010    0.010    0.628    0.628 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:71(<listcomp>)
    50257    0.010    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:195(is_tf_tensor)
      240    0.010    0.000    0.010    0.000 {built-in method torch.where}
        1    0.010    0.010    0.013    0.013 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_tensor.py:1078(__contains__)
    164/1    0.010    0.000    0.276    0.276 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:799(_apply)
    50257    0.009    0.000    0.013    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:225(is_jax_tensor)
        1    0.009    0.009    0.009    0.009 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.009    0.009    0.740    0.740 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:26(load_tokens)
       38    0.009    0.000    3.687    0.097 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:256(_check_eos_token_acceptance)
      500    0.008    0.000    0.008    0.000 {built-in method torch.layer_norm}
      806    0.008    0.000    0.008    0.000 {built-in method io.open_code}
       14    0.008    0.001    0.008    0.001 {built-in method torch.ones}
       55    0.008    0.000    0.008    0.000 {built-in method _codecs.utf_8_decode}
      536    0.008    0.000    0.008    0.000 {built-in method torch.cat}
       20    0.008    0.000    0.244    0.012 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:996(prepare_inputs_for_generation)
    13345    0.007    0.000    0.030    0.000 /usr/lib/python3.8/inspect.py:726(getmodule)
        3    0.007    0.002    0.261    0.087 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:1803(from_pretrained)
      465    0.007    0.000    0.015    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      240    0.007    0.000    0.207    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:377(forward)
     1202    0.006    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     3940    0.006    0.000    0.014    0.000 /usr/lib/python3.8/tokenize.py:429(_tokenize)
  3260/20    0.006    0.000    0.866    0.043 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1513(_call_impl)
     2952    0.006    0.000    0.006    0.000 {method 'view' of 'torch._C.TensorBase' objects}
       38    0.006    0.000    8.001    0.211 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:105(get_token_acceptance)
    15679    0.006    0.000    0.009    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:7(supercedes)
        1    0.006    0.006    0.006    0.006 {built-in method torch.sum}
     3711    0.006    0.000    0.012    0.000 /usr/lib/python3.8/inspect.py:654(getfile)
       20    0.005    0.000    0.864    0.043 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:743(forward)
    98024    0.005    0.000    0.005    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:70(<lambda>)
        1    0.005    0.005   13.000   13.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/generation/utils.py:1173(generate)
      480    0.005    0.000    0.005    0.000 {built-in method torch.full}
   265/39    0.005    0.000    0.013    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      806    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
